Texto,Cita
"Andrade Castro, J. y Campo-Redondo, M. (2006) Tecnologías de Información: Indicadores de la inclusión digital. Revista Venezolana de Gerencia. Vol.11, No. 33, pp. 49-73.",1

"Tu dataset tiene una buena estructura, pero hay algunos detalles que puedes mejorar para evitar errores al procesarlo. Aquí te dejo algunas correcciones",0

"Asamblea  Nacional  (2000b),  Ley  Orgánica  de  Telecomunicaciones,  Gaceta  Oficial  N° , 136.970 del 12 de junio. Caracas, Venezuela.",1   

"no es necesario que hagas todos los pasos en un solo módulo. Lo ideal es dividir el desarrollo en múltiples módulos o archivos para mantener tu código organizado y modular.",0

"Avalos,  Ignacio  (2004).  Transferencia  de  tecnología.  Ciencia,  tecnología  y  desarrollo: interrelaciones  teóricas  y  metodológicas.  Eduardo  Martínez  editor.  ONU.  UNESCO.",1

"CEPAL-ILPES CYTED. Nueva Sociedad. Caracas. Venezuela.",1


"Banco Mundial. (2011). Las TIC y la agricultura en el contexto del ‘crecimiento verde’. Foro en línea. 1818 H Street, NW Washington, DC 20433 USA",1 

"Barro, Ameneiro, Senén E. (2004). Las Tecnologías de la Información y la Comunicación en el Sistema Universitario. Español. Madrid: CRUE",1   

"Buch, Tomás (2000). Sistemas tecnológicos. Contribuciones a una Teoría General de la Artificialidad. Redes, vol. 7, núm. 15, agosto, 2000, pp. 217-222. Universidad Nacional de Quilmes. Buenos Aires. Argentina.",1

"Cao,  J.,  Zhang,  Q.,  &amp;  shi,  W.  (2018).  Edge  Computing:  A  primer.  Springer International  Publishing.  https://doi.org/10.1007/978-3-030-02083-5  Castro,  W.  R.  A., Suarez,  C.  A.  H.,  Camp;  Suárez,  A.  A.  G.  (2022).  Tecnologías  de  la  información  y crecimiento empresarial. Revista Boletín Redipe, 11(1), 523-533.",1

"Eastwood,  C.,  Brook,  A.,  &amp;  Lobley,  M.  (2017).  The  smart  farm:  its  emergence, development and future challenges. Journal of rural studies, 54, 116-128. Enciclopedia  de  humanidades  (2025).  Tercera  revolución  industrial.  Recuperado  de: https://humanidades.com/tercera-revolucion-industrial/",1

"FAO,  (2021).  Agricultura  4.0-Robótica  agrícola  y  equipos  automatizados  para  la producción  agrícola  sostenible.  Recuperado  de: https://www.fao.org/3/cb4476es/cb4476es.pdf",1

"FAO, (2011). Las TIC y la agricultura en el contexto del ‘crecimiento verde’. Foro en línea. Roma. Italia.",1  

"Fau, Mauricio (2015). Breve Historia de la Ciencia desde Babilonia hasta el Siglo XX. Colección resúmenes universitarios N° 356 ",1

"Genatios,  Carlos  y  La  Fuente,  Marianela  (2004).  Ciencia  y  tecnología  en  Venezuela. Ediciones OPSU.",1

"Green, R. P. (2003). Fiber optic networks. Prentice Hall Professional. Hertog, S., Gerland, P., &amp; Wilmoth, J. (2023). India overtakes China as the world’s most populous country",1

"Joskowicz, J. (2008). Redes de datos. Montevideo: Universidad de la Republica, Instituto de Ingeniería Eléctrica, Facultad de Ingeniería.",1

"Lanza, Mario (2003). Algunas reflexiones y consideraciones sobre gobierno electrónico. Modernización  de  las  finanzas  públicas.  Revista  Centroamericana  de  Administración Pública. Instituto Centroamericano de Administración Pública ICAP., enero-diciembre. Pag 119-129.",1

"Laudon, J. y Laudon, K. (2013). Sistemas de Información Gerencial, 12da edición. Ciudad de México, México. Ed. Pearson Educación.",1

